time,seconds_elapsed,qw,qx,qy,qz
1150090065232,3.983875438,0.88483095,0.45058224,0.08796859,0.07944473
1150110084390,4.003894596,0.88540924,0.44913885,0.09195429,0.07661077
1150130134066,4.023944272,0.88568646,0.4480974,0.09612145,0.07435625
1150150153225,4.043963431,0.8856739,0.44794825,0.09736898,0.07378066
1150170202901,4.064013107,0.88566864,0.44798678,0.097027995,0.07405728
1150190222059,4.084032265,0.8856463,0.44811052,0.09602517,0.07487863
1150210271735,4.104081941,0.88535386,0.44867882,0.09502879,0.07619299
1150230290894,4.1241011,0.88476104,0.4496499,0.09467836,0.07777476
1150250310053,4.144120259,0.88381094,0.45149085,0.093077734,0.079817325
1150270359729,4.164169935,0.88305026,0.4530609,0.09121551,0.08147293
1150290409404,4.18421961,0.88243043,0.45433164,0.089700796,0.08278296
1150310428564,4.20423877,0.8818923,0.4553018,0.08878892,0.084159546
1150330478239,4.224288445,0.88148564,0.45601982,0.08779301,0.08556663
1150350497398,4.244307604,0.88111526,0.45673552,0.08620512,0.087162845
1150370547074,4.26435728,0.8809208,0.45721412,0.08375167,0.08899105
1150390566233,4.284376439,0.8808873,0.4574291,0.08098792,0.09075931
1150410615909,4.304426115,0.8807735,0.45777884,0.07884094,0.09198243
1150430635067,4.324445273,0.88048804,0.45843118,0.077789605,0.09236059
1150450684743,4.344494949,0.88030326,0.45887405,0.07764839,0.09204203
1150470703902,4.364514108,0.88053423,0.4585514,0.07834224,0.090844795
1150490753578,4.384563784,0.8809676,0.45784056,0.07978439,0.088953085
1150510772736,4.404582942,0.8814676,0.45700258,0.08157519,0.0866563
1150530822412,4.424632618,0.88202626,0.4558627,0.08447491,0.08415999
1150550841571,4.444651777,0.8825349,0.45458055,0.088302284,0.081800595
1150570891247,4.464701453,0.8830436,0.4531961,0.092035346,0.07985637
1150590910406,4.484720612,0.88339895,0.45213088,0.09464248,0.07891116
1150610960081,4.504770287,0.88337964,0.45215318,0.09418617,0.079541795
1150630979240,4.524789446,0.8832702,0.45240158,0.093168505,0.08053754
1150651028916,4.544839122,0.8832466,0.45228362,0.09337475,0.08121785
1150671048075,4.564858281,0.8828797,0.4527978,0.09355241,0.0821317
1150691067234,4.58487744,0.8821489,0.45414189,0.09268844,0.08353119
1150711116909,4.604927115,0.8814354,0.45558608,0.09099752,0.08504347
1150731136069,4.624946275,0.88084555,0.45691407,0.088679194,0.08646814
1150751155227,4.644965433,0.8802428,0.45834082,0.08581085,0.08793562
1150771204903,4.665015109,0.87963176,0.45970017,0.08345943,0.08921032
1150791254579,4.685064785,0.87914455,0.46074197,0.08222448,0.089783825
1150811273738,4.705083944,0.8790192,0.4608578,0.08365573,0.08909115
1150831292896,4.725103102,0.8788954,0.4609659,0.085279085,0.08820914
1150851342572,4.745152778,0.87923944,0.4602597,0.08695816,0.086818345
1150871361731,4.765171937,0.8796585,0.45942777,0.08848457,0.085425586
1150891411407,4.785221613,0.88005763,0.45854524,0.09043158,0.084005944
1150911430565,4.805240771,0.8803841,0.45771185,0.09251327,0.0828554
1150931480241,4.825290447,0.880638,0.45707512,0.09384597,0.08217015
1150951529917,4.845340123,0.8809483,0.45641658,0.09426466,0.082025625
1150971549076,4.865359282,0.88111913,0.45598346,0.094264686,0.082598165
1150991568234,4.88537844,0.8809008,0.45621258,0.09385233,0.08411731
1151011617910,4.905428116,0.8802806,0.4572392,0.09293727,0.086029254
1151031637069,4.925447275,0.8796208,0.45847103,0.09165164,0.08758818
1151051686745,4.945496951,0.879077,0.45962524,0.089772485,0.08893457
1151071705904,4.96551611,0.8786277,0.46068424,0.08742825,0.090220615
1151091755579,4.985565785,0.8783188,0.46143875,0.08536567,0.09134093
1151111774739,5.005584945,0.87818635,0.46178663,0.084145986,0.09198634
1151131793897,5.025604103,0.8780221,0.46211463,0.08390589,0.0921264
1151151813056,5.045623262,0.8780665,0.46207535,0.08421627,0.091615565
1151171862732,5.065672938,0.878504,0.4613679,0.085002005,0.09025077
1151191881890,5.085692096,0.8792076,0.46028835,0.08578806,0.08814294
1151211901049,5.105711255,0.87995887,0.459102,0.08675399,0.085857935
1151231950725,5.125760931,0.8805518,0.4580411,0.08842747,0.083710015
1151251969883,5.145780089,0.8810366,0.45694298,0.091151945,0.08166518
1151272019559,5.165829765,0.8815496,0.45568413,0.094178356,0.07970392
1151292038719,5.185848925,0.8820424,0.45451227,0.096345395,0.078341335
1151312088394,5.2058986,0.8825195,0.4534991,0.0972608,0.07770665
1151332107553,5.225917759,0.8828888,0.45280573,0.09724193,0.07757811
1151352126712,5.245936918,0.88306177,0.45249382,0.09694791,0.077797346
1151372176388,5.265986594,0.8830939,0.45241207,0.09666081,0.07826336
1151392195546,5.286005752,0.8829132,0.45272338,0.09647266,0.078733996
1151412245222,5.306055428,0.8826775,0.45315143,0.09629972,0.07912411
1151432264381,5.326074587,0.8825312,0.45348245,0.09588435,0.079362325
1151452314057,5.346124263,0.8824479,0.4537295,0.09531715,0.07956046
1151472333215,5.366143421,0.8824191,0.45386413,0.094771475,0.07976502
1151492382891,5.386193097,0.88242364,0.45384222,0.094476625,0.0801873
1151512402050,5.406212256,0.88250345,0.45362702,0.09426875,0.080770425
1151532421208,5.426231414,0.88257414,0.45339847,0.09422363,0.08133064
1151552440368,5.446250574,0.8825665,0.45329502,0.0944972,0.08167205
1151572490044,5.46630025,0.8826508,0.4530583,0.09480712,0.08171589
1151592509202,5.486319408,0.88285863,0.45255616,0.095147856,0.08185566
1151612558878,5.506369084,0.8831362,0.4518424,0.09549658,0.08239788
1151632578037,5.526388243,0.8837833,0.45045185,0.095543385,0.08301797
1151652597196,5.546407402,0.8847328,0.44854233,0.09523722,0.083592676
1151672646871,5.566457077,0.8859017,0.44634774,0.094310306,0.08400898
1151692696547,5.586506753,0.88703406,0.4442255,0.093319036,0.08441529
1151712715706,5.606525912,0.88801587,0.44225815,0.09289249,0.08489132
1151732734865,5.626545071,0.8889876,0.44020838,0.092911124,0.08535337
1151752784541,5.646594747,0.8898951,0.43831566,0.092805944,0.0857519
1151772803699,5.666613905,0.89067364,0.43678847,0.09229614,0.08601069
1151792822859,5.686633065,0.89124894,0.43573838,0.0915734,0.08614907
1151812872534,5.70668274,0.89161605,0.43506527,0.091059074,0.08629886
1151832891693,5.726701899,0.8918932,0.43452153,0.09083659,0.08640854
1151852941369,5.746751575,0.8919812,0.4342784,0.09093098,0.08662325
1151872960528,5.766770734,0.891955,0.43434235,0.09081664,0.086690746
1151892979686,5.786789892,0.89186525,0.43449566,0.0907953,0.08686907
1151912998845,5.806809051,0.8919557,0.43435737,0.09053425,0.08690428
1151933048521,5.826858727,0.8920475,0.43417785,0.090334706,0.08706645
1151953067679,5.846877885,0.8921218,0.4340843,0.09003869,0.08707869
1151973117355,5.866927561,0.89207333,0.43417218,0.0900125,0.08716377
1151993136514,5.88694672,0.89199597,0.43433252,0.08989815,0.08727495
1152013186190,5.906996396,0.89201045,0.43432865,0.08963476,0.08741724
1152033205348,5.927015554,0.89199704,0.43441623,0.08923581,0.08752611
1152053255024,5.94706523,0.89200133,0.43450394,0.088839725,0.087449804
1152073274184,5.96708439,0.891896,0.43470275,0.08891526,0.0874591
1152093293342,5.987103548,0.89178944,0.43487084,0.089044474,0.08757943
1152113343018,6.007153224,0.891771,0.4349541,0.088772915,0.08762808
1152133362177,6.027172383,0.89165413,0.43525794,0.08840573,0.087681495
1152153381335,6.047191541,0.8915259,0.43557495,0.08811863,0.08769978
1152173431011,6.067241217,0.89141816,0.43583864,0.087908335,0.087695055
1152193450170,6.087260376,0.89131767,0.43601656,0.08798913,0.087750986
1152213499846,6.107310052,0.8912311,0.4362031,0.0879262,0.08776654
1152233519004,6.12732921,0.8910624,0.4365201,0.08790253,0.08792737
1152253538164,6.14734837,0.89093053,0.43681958,0.08771917,0.08795946
1152273587839,6.167398045,0.8908086,0.43703583,0.08773828,0.08810149
1152293606998,6.187417204,0.8907354,0.43716124,0.08769834,0.08825897
1152313656673,6.207466879,0.89065117,0.43724245,0.08784226,0.08856253
1152333675833,6.227486039,0.89068484,0.43710268,0.087919764,0.08883631
1152353725509,6.247535715,0.8906951,0.43693346,0.088221155,0.08926572
1152373744667,6.267554873,0.8908022,0.43658075,0.08849849,0.08964852
1152393763826,6.287574032,0.89105004,0.436002,0.0885558,0.08994435
1152413813502,6.307623708,0.8913523,0.43539456,0.08828042,0.0901631
1152433832660,6.327642866,0.8916311,0.43487614,0.08776776,0.0904081
1152453882336,6.347692542,0.89186764,0.43436432,0.08749713,0.09079751
1152473901495,6.367711701,0.8920377,0.43392196,0.08752588,0.09121318
1152493951171,6.387761377,0.8922062,0.4334836,0.087530516,0.09164331
1152513970329,6.407780535,0.8925477,0.43274453,0.08722732,0.09209936
1152533989489,6.427799695,0.89303297,0.4317513,0.08666948,0.09258086
1152554039164,6.44784937,0.8935772,0.4306719,0.08603216,0.09295187
1152574058323,6.467868529,0.89399284,0.42977387,0.08573373,0.09338589
1152594107998,6.487918204,0.8943708,0.4289272,0.08557286,0.09380658
1152614157674,6.50796788,0.8947436,0.4281219,0.085317485,0.09416201
1152634176834,6.52798704,0.8951636,0.42737183,0.084507205,0.09430924
1152654195992,6.548006198,0.8956514,0.4265515,0.083375975,0.094397664
1152674249565,6.568059771,0.89610994,0.4257191,0.08246533,0.09460421
1152694299242,6.588109448,0.89637476,0.42520788,0.08200742,0.09479175
